Click,Swipe,Scroll,Input,Timestamps,Trip Type,Screen Time(min),Device Info,OS,App Version,Customer ID
4,2,1,2,2024-03-15 00:32:33.954062,single feature journey,5,Nokia 8,Android,['7.0.47'],+91 8501475935
3,1,2,2,2024-03-15 00:33:09.628638,single feature journey,8,OnePlus 12,Android,['7.0.47'],+91 7710769141
10,4,4,5,2024-03-15 00:33:35.041385,mixed usage,10,Mi series,Android,['7.0.57'],+91 9172282371
5,4,2,3,2024-03-15 00:34:06.993139,shopping journey,14,Pixel 7,Android,['6.0.48'],+91 8901621203
5,3,5,2,2024-03-15 00:34:22.855070,news consumption journey,10,Pixel,Android,['7.0.25'],+91 8571369986
7,3,3,5,2024-03-15 00:34:33.463227,mixed usage,9,Pixel 4 XL,Android,['7.0.01'],+91 8080612198
19,10,9,10,2024-03-15 00:34:36.926630,long exploration journey,27,Lenovo Z series,Android,['7.0.47'],+91 7789800970
4,2,2,2,2024-03-15 00:35:45.104485,single feature journey,5,Nokia G42 5G,Android,['7.0.57'],+91 8372228252
3,2,2,1,2024-03-15 00:36:10.831206,single feature journey,5,Pixel 2,Android,['7.0.25'],+91 8037530694
16,14,10,5,2024-03-15 00:36:12.654828,long exploration journey,28,OnePlus One,Android,['7.0.57'],+91 7839227629
4,1,2,2,2024-03-15 00:36:44.369732,single feature journey,4,Galaxy A series,Android,['7.0.60'],+91 8695116251
18,11,5,7,2024-03-15 00:37:02.176373,long exploration journey,25,OnePlus 5/5T,Android,['7.0.57'],+91 9225834880
14,9,5,6,2024-03-15 00:37:04.615174,entertainment journey,12,Pixel 4a 5G,Android,['7.0.25'],+91 9323058812
4,5,5,4,2024-03-15 00:38:04.264973,news consumption journey,9,Pixel 5,Android,['7.0.47'],+91 9078963537
5,4,3,2,2024-03-15 00:38:27.204114,shopping journey,15,Galaxy S8,Android,['7.0.03'],+91 8620223476
8,2,4,3,2024-03-15 00:39:09.385954,mixed usage,12,Nova series,Android,['7.0.25'],+91 9412046004
19,15,6,6,2024-03-15 00:39:32.096291,long exploration journey,27,Pixel 4a,Android,['6.0.48'],+91 9141714589
7,2,4,4,2024-03-15 00:39:36.930818,mixed usage,6,Asus ZenFone series,Android,['7.0.60'],+91 7298676142
5,2,2,2,2024-03-15 00:39:37.242433,single feature journey,6,Galaxy Tab series,Android,['6.0.48'],+91 9947999186
4,4,5,5,2024-03-15 00:39:44.986724,news consumption journey,10,Galaxy Note10,Android,['7.0.57'],+91 7468656351
15,9,3,5,2024-03-15 00:39:54.214382,entertainment journey,19,Pixel 6,Android,['7.0.60'],+91 9730221439
5,1,2,2,2024-03-15 00:39:57.417028,single feature journey,5,Pixel XL,Android,['7.0.57'],+91 9138127272
15,13,5,10,2024-03-15 00:40:18.513978,long exploration journey,27,Nokia 8,Android,['7.0.60'],+91 7208766525
3,1,2,2,2024-03-15 00:40:34.940663,single feature journey,8,Redmi series,Android,['7.0.03'],+91 9695345320
3,1,2,2,2024-03-15 00:41:16.419097,single feature journey,5,OnePlus 11,Android,['7.0.57'],+91 9781158111
19,13,5,9,2024-03-15 00:41:35.398476,long exploration journey,25,Galaxy Note10,Android,['6.0.48'],+91 8028043685
7,5,2,4,2024-03-15 00:41:39.114314,mixed usage,10,Sony Xperia series,Android,['7.0.60'],+91 7371716976
5,1,2,1,2024-03-15 00:41:49.863421,single feature journey,2,Pixel 4,Android,['7.0.60'],+91 9922771747
4,2,4,2,2024-03-15 00:42:24.892465,news consumption journey,8,Nokia G42 5G,Android,['7.0.47'],+91 8093718519
3,2,2,1,2024-03-15 00:45:36.939272,single feature journey,6,Mi series,Android,['7.0.25'],+91 9714427829
3,2,1,1,2024-03-15 00:45:45.993086,single feature journey,7,OnePlus One,Android,['6.0.04'],+91 9689397322
7,4,4,5,2024-03-15 00:45:54.756503,mixed usage,20,Sony Xperia series,Android,['7.0.57'],+91 9503981027
5,1,1,1,2024-03-15 00:45:58.209025,single feature journey,6,Galaxy Note20,Android,['7.0.25'],+91 9286691011
13,8,5,10,2024-03-15 00:46:50.964870,entertainment journey,15,LG G series,Android,['7.0.57'],+91 7398317379
15,14,9,9,2024-03-15 00:47:44.233907,long exploration journey,30,Galaxy Tab series,Android,['7.0.25'],+91 8491613417
5,1,2,2,2024-03-15 00:48:00.358787,single feature journey,5,Galaxy S9,Android,['7.0.57'],+91 9359605980
4,1,1,2,2024-03-15 00:48:01.136232,single feature journey,6,Galaxy S10,Android,['7.0.01'],+91 8442223745
5,2,2,2,2024-03-15 00:48:10.666151,single feature journey,2,Nokia 8,Android,['7.0.25'],+91 8524068712
3,2,1,1,2024-03-15 00:48:13.239154,single feature journey,6,Moto X series,Android,['7.0.47'],+91 9870644740
5,1,1,1,2024-03-15 00:48:40.727667,single feature journey,5,OnePlus 7/7 Pro/7T/7T Pro,Android,['7.0.60'],+91 9477072793
10,4,4,2,2024-03-15 00:49:33.982963,shopping journey,10,Galaxy S10,Android,['7.0.01'],+91 9461816102
10,5,3,5,2024-03-15 00:49:38.712315,mixed usage,15,Lenovo Z series,Android,['7.0.60'],+91 8526203886
7,4,2,5,2024-03-15 00:49:56.446335,mixed usage,18,LG Q series,Android,['7.0.57'],+91 9086899105
20,15,9,8,2024-03-15 00:50:06.118212,long exploration journey,27,Galaxy S23,Android,['7.0.01'],+91 8190607846
17,15,10,7,2024-03-15 00:50:15.167394,long exploration journey,30,iPhone 11 Pro Max,IOS,['7.0.60'],+91 8366635923
4,4,5,3,2024-03-15 00:50:23.874985,news consumption journey,10,Pixel 2,Android,['7.0.47'],+91 8981410554
16,15,7,9,2024-03-15 00:51:35.675422,long exploration journey,30,Nokia 5,Android,['6.0.11'],+91 8137707466
3,1,2,1,2024-03-15 00:51:42.802943,single feature journey,4,Nokia 5,Android,['7.0.47'],+91 8500301714
3,2,0,1,2024-03-15 00:52:07.496753,simple recharge journey,2,Galaxy S20,Android,['7.0.03'],+91 7391838345
16,10,10,5,2024-03-15 00:52:09.926863,long exploration journey,26,LG G series,Android,['7.0.01'],+91 7548720717
5,5,2,5,2024-03-15 00:53:48.892960,mixed usage,5,OnePlus 10 Pro,Android,['7.0.60'],+91 7583594465
7,3,3,3,2024-03-15 00:54:24.853123,mixed usage,17,Pixel 3,Android,['7.0.03'],+91 9838042987
9,5,5,3,2024-03-15 00:54:39.347589,shopping journey,11,Moto X series,Android,['7.0.47'],+91 7225714886
5,2,1,2,2024-03-15 00:55:01.058254,single feature journey,9,Nokia 6,Android,['7.0.01'],+91 8206864514
3,1,1,2,2024-03-15 00:55:22.253160,single feature journey,9,Pixel 3a XL,Android,['7.0.47'],+91 9348686844
4,1,2,1,2024-03-15 00:55:29.035375,single feature journey,9,Nokia 6,Android,['7.0.57'],+91 7896339942
11,5,3,10,2024-03-15 00:55:35.674523,entertainment journey,10,Pixel 3,Android,['7.0.60'],+91 9643664642
3,2,2,3,2024-03-15 00:55:37.348671,news consumption journey,10,Galaxy Note8,Android,['7.0.60'],+91 8932056524
3,3,5,5,2024-03-15 00:55:39.872385,news consumption journey,6,Pixel 4a 5G,Android,['7.0.60'],+91 9079930400
9,5,4,3,2024-03-15 00:55:47.988595,mixed usage,17,iPhone XS,IOS,['7.0.47'],+91 8358800437
17,15,8,9,2024-03-15 00:55:55.586522,long exploration journey,25,Lenovo K series,Android,['7.0.47'],+91 7076274954
5,4,5,3,2024-03-15 00:56:22.671820,mixed usage,7,OnePlus 5/5T,Android,['6.0.11'],+91 7774808122
9,5,3,3,2024-03-15 00:56:47.697389,mixed usage,9,Pixel 6,Android,['7.0.47'],+91 8475030594
13,6,2,7,2024-03-15 00:57:06.119253,entertainment journey,14,Sony Xperia series,Android,['7.0.25'],+91 7692272593
5,2,3,2,2024-03-15 00:57:12.495655,shopping journey,15,Galaxy Note8,Android,['7.0.03'],+91 8429605538
15,15,6,9,2024-03-15 00:57:21.496073,long exploration journey,28,Pixel 8,Android,['7.0.03'],+91 9686568280
20,15,8,7,2024-03-15 00:57:35.070077,long exploration journey,27,Poco series,Android,['7.0.25'],+91 7570731094
9,4,4,2,2024-03-15 00:57:35.440711,shopping journey,12,Poco series,Android,['7.0.57'],+91 8244513033
9,2,3,3,2024-03-15 00:57:39.814498,shopping journey,11,Galaxy S9,Android,['7.0.25'],+91 8875239049
5,3,2,5,2024-03-15 00:57:55.507092,mixed usage,5,Pixel 2 XL,Android,['7.0.60'],+91 8817699268
4,1,2,1,2024-03-15 00:58:15.540194,single feature journey,6,Pixel 2 XL,Android,['6.0.04'],+91 9865494090
17,12,6,10,2024-03-15 00:58:16.364662,long exploration journey,26,Pixel 8,Android,['7.0.57'],+91 9248827391
5,2,2,1,2024-03-15 00:58:36.361892,single feature journey,2,Nokia 7,Android,['7.0.60'],+91 8349777952
5,5,3,4,2024-03-15 00:59:12.445149,mixed usage,9,Motorola Moto series,Android,['6.0.04'],+91 8390663634
15,15,7,9,2024-03-15 00:59:17.352811,long exploration journey,28,iPhone 7 Plus,IOS,['7.0.25'],+91 8291805334
5,5,2,2,2024-03-15 00:59:34.178195,mixed usage,5,OnePlus 12,Android,['7.0.03'],+91 8664671709
10,2,4,5,2024-03-15 00:59:54.287971,mixed usage,10,Galaxy Note5,Android,['7.0.57'],+91 7458989299
6,5,5,2,2024-03-15 01:00:38.035255,shopping journey,14,Moto Z series,Android,['7.0.57'],+91 8079260808
3,1,2,1,2024-03-15 01:01:21.089154,single feature journey,4,OnePlus 6/6T,Android,['7.0.57'],+91 7076346103
14,9,5,6,2024-03-15 01:01:59.186474,entertainment journey,16,OnePlus 10,Android,['6.0.48'],+91 8963349285
5,3,4,3,2024-03-15 01:02:09.008484,shopping journey,11,Galaxy Tab series,Android,['7.0.47'],+91 7159088322
9,3,2,5,2024-03-15 01:02:37.415381,mixed usage,13,OnePlus 12,Android,['6.0.48'],+91 7231408194
4,2,1,1,2024-03-15 01:02:45.998559,single feature journey,10,Galaxy S21,Android,['6.0.04'],+91 7336161878
7,3,3,2,2024-03-15 01:02:55.031687,shopping journey,13,OnePlus 5/5T,Android,['7.0.47'],+91 8326104936
6,5,5,2,2024-03-15 01:03:05.321443,mixed usage,20,Pixel 3a,Android,['7.0.57'],+91 8765125486
5,2,1,1,2024-03-15 01:03:15.385382,single feature journey,8,iPhone 11,IOS,['5.0.28'],+91 9298880403
6,3,4,2,2024-03-15 01:05:37.544087,mixed usage,17,Moto Z series,Android,['7.0.03'],+91 8712057303
17,11,6,5,2024-03-15 01:07:02.337654,long exploration journey,25,Galaxy Note8,Android,['7.0.60'],+91 7465942399
4,1,1,1,2024-03-15 01:07:24.792728,simple recharge journey,2,Galaxy S7,Android,['5.0.28'],+91 7024249055
19,14,6,5,2024-03-15 01:07:27.645099,long exploration journey,28,Galaxy J series,Android,['7.0.57'],+91 7354079528
5,2,2,2,2024-03-15 01:07:37.496584,single feature journey,2,Nova series,Android,['7.0.03'],+91 9904753462
8,4,3,3,2024-03-15 01:07:49.542416,shopping journey,14,OnePlus 10,Android,['7.0.60'],+91 9729102708
7,3,5,2,2024-03-15 01:07:52.746717,mixed usage,17,Moto G series,Android,['7.0.47'],+91 7439144006
10,8,2,6,2024-03-15 01:08:02.909286,entertainment journey,16,Pixel 2,Android,['7.0.57'],+91 7373055544
18,11,6,8,2024-03-15 01:08:25.768250,long exploration journey,28,Nokia XR21,Android,['7.0.60'],+91 8928252804
3,2,1,2,2024-03-15 01:08:46.226240,single feature journey,4,Nokia G42 5G,Android,['6.0.48'],+91 9939579905
19,13,7,10,2024-03-15 01:09:02.703198,long exploration journey,25,Pixel 4,Android,['7.0.60'],+91 8284148991
8,2,3,4,2024-03-15 01:09:03.523463,mixed usage,7,Lenovo Z series,Android,['7.0.03'],+91 7104587072
5,3,5,3,2024-03-15 01:09:31.006684,mixed usage,6,Pixel 5,Android,['7.0.47'],+91 8775562959
8,4,3,2,2024-03-15 01:09:52.512353,mixed usage,18,Galaxy S9,Android,['6.0.11'],+91 9788940097
10,3,3,4,2024-03-15 01:10:10.958741,shopping journey,13,Moto Z series,Android,['7.0.25'],+91 9265649609
3,2,1,1,2024-03-15 01:10:11.672297,single feature journey,10,LG V series ,Android,['7.0.60'],+91 9558723998
7,2,5,5,2024-03-15 01:10:36.153940,mixed usage,6,OnePlus 10,Android,['7.0.57'],+91 8503594045
18,10,7,9,2024-03-15 01:11:18.990767,long exploration journey,30,Lenovo Z series,Android,['7.0.60'],+91 9096793507
4,2,1,1,2024-03-15 01:11:32.159695,single feature journey,2,Nokia XR21,Android,['6.0.11'],+91 7228626243
4,4,5,5,2024-03-15 01:11:39.102731,news consumption journey,8,Lenovo Z series,Android,['7.0.47'],+91 9624009981
14,6,2,6,2024-03-15 01:12:08.508279,entertainment journey,17,Galaxy Note8,Android,['7.0.47'],+91 9215047293
11,10,4,10,2024-03-15 01:12:17.011549,entertainment journey,15,OnePlus 3/3T,Android,['6.0.11'],+91 9105380131
8,2,3,5,2024-03-15 01:14:00.235044,mixed usage,5,iPhone 12,IOS,['5.0.28'],+91 9201208889
15,6,4,5,2024-03-15 01:14:23.882666,entertainment journey,12,Pixel 3a XL,Android,['5.0.28'],+91 9040443197
15,15,9,7,2024-03-15 01:14:26.201879,long exploration journey,30,Galaxy S9,Android,['7.0.60'],+91 7565506846
19,10,7,7,2024-03-15 01:14:41.915145,long exploration journey,25,Galaxy Note8,Android,['7.0.01'],+91 8517416714
4,1,1,2,2024-03-15 01:14:47.760575,single feature journey,8,Nokia 7,Android,['7.0.47'],+91 8385459198
5,2,1,1,2024-03-15 01:15:09.998710,single feature journey,10,Galaxy M series,Android,['7.0.60'],+91 9622495613
9,4,2,3,2024-03-15 01:15:10.738513,mixed usage,18,HTC Desire series,Android,['6.0.04'],+91 7639826391
5,1,1,1,2024-03-15 01:15:18.047805,single feature journey,2,Galaxy S8,Android,['7.0.60'],+91 7714679542
17,12,7,7,2024-03-15 01:15:22.662583,long exploration journey,27,iPhone 13 Pro Max,IOS,['7.0.57'],+91 7391176614
3,5,3,3,2024-03-15 01:15:45.293333,news consumption journey,5,Galaxy Note8,Android,['7.0.60'],+91 7105075532
10,2,5,5,2024-03-15 01:15:53.311090,shopping journey,10,LG G series,Android,['7.0.47'],+91 7993907434
5,3,5,2,2024-03-15 01:15:58.843160,mixed usage,11,Pixel 3a XL,Android,['7.0.57'],+91 7246521120
4,2,2,2,2024-03-15 01:15:58.955828,single feature journey,5,OnePlus 10 Pro,Android,['7.0.60'],+91 7077014170
5,4,5,3,2024-03-15 01:16:10.862708,news consumption journey,8,Galaxy M series,Android,['6.0.04'],+91 9019736303
18,14,10,7,2024-03-15 01:16:12.650752,long exploration journey,30,Asus ZenFone series,Android,['7.0.57'],+91 9661142207
10,2,2,4,2024-03-15 01:16:43.702261,shopping journey,13,iPhone 14 plus,IOS,['6.0.04'],+91 9533424186
6,4,5,4,2024-03-15 01:17:00.803257,mixed usage,11,iPhone 13 Pro,IOS,['7.0.57'],+91 9412083335
6,2,4,4,2024-03-15 01:17:03.634266,mixed usage,20,Nokia 5,Android,['7.0.57'],+91 7929387884
4,1,2,1,2024-03-15 01:17:14.311364,single feature journey,2,Pixel 4a,Android,['7.0.57'],+91 8797492341
8,3,5,2,2024-03-15 01:17:14.467427,mixed usage,20,OnePlus 10,Android,['7.0.60'],+91 9487500616
3,4,2,4,2024-03-15 01:17:36.427941,news consumption journey,9,Galaxy S7,Android,['7.0.03'],+91 8501016763
18,12,10,8,2024-03-15 01:17:40.304768,long exploration journey,27,Galaxy S23,Android,['7.0.25'],+91 8506272095
3,2,2,1,2024-03-15 01:17:56.296470,single feature journey,6,Pixel 7,Android,['6.0.11'],+91 7972165526
5,1,1,1,2024-03-15 01:17:56.967603,single feature journey,7,Pixel 7,Android,['7.0.60'],+91 7433290364
8,2,4,4,2024-03-15 01:18:19.716218,shopping journey,10,Nokia G42 5G,Android,['7.0.01'],+91 9818972621
4,2,1,1,2024-03-15 01:18:52.451622,single feature journey,3,HTC One series,Android,['7.0.60'],+91 8424954342
3,2,2,2,2024-03-15 01:18:57.452183,single feature journey,10,LG G series,Android,['7.0.57'],+91 9679886463
4,1,1,1,2024-03-15 01:18:59.555161,simple recharge journey,1,OnePlus 11,Android,['7.0.03'],+91 7480715441
18,15,9,8,2024-03-15 01:19:08.647124,long exploration journey,29,Galaxy S10,Android,['6.0.11'],+91 9839666128
9,2,5,3,2024-03-15 01:19:19.433877,shopping journey,13,Pixel 4 XL,Android,['7.0.57'],+91 7710079195
8,4,5,3,2024-03-15 01:19:32.487326,shopping journey,15,OnePlus 10 Pro,Android,['7.0.57'],+91 9766305833
6,3,3,3,2024-03-15 01:19:37.947773,mixed usage,6,iPhone 15 Pro,IOS,['7.0.01'],+91 7873827710
10,2,3,5,2024-03-15 01:19:43.410623,shopping journey,13,Galaxy S20,Android,['6.0.11'],+91 7106271558
20,13,7,10,2024-03-15 01:20:04.435952,long exploration journey,28,OnePlus 2,Android,['7.0.47'],+91 9410383252
5,4,2,2,2024-03-15 01:22:21.216452,mixed usage,16,Nokia XR21,Android,['7.0.01'],+91 9452088847
3,4,3,5,2024-03-15 01:22:23.267840,news consumption journey,10,iPhone 11 Pro,IOS,['6.0.04'],+91 9449658692
15,10,4,10,2024-03-15 01:22:35.932788,entertainment journey,15,Galaxy S8,Android,['6.0.04'],+91 7625662478
19,13,10,8,2024-03-15 01:22:49.111964,long exploration journey,29,Honor series,Android,['7.0.47'],+91 8650677685
15,14,5,7,2024-03-15 01:22:49.718288,long exploration journey,27,Galaxy Tab series,Android,['7.0.57'],+91 8513120013
4,2,1,2,2024-03-15 01:22:57.587042,single feature journey,8,Galaxy Note20,Android,['6.0.48'],+91 7092394592
4,1,2,2,2024-03-15 01:23:16.103416,single feature journey,3,Pixel 7,Android,['7.0.57'],+91 9495736638
5,2,2,2,2024-03-15 01:23:27.861808,mixed usage,14,Pixel 4 XL,Android,['6.0.48'],+91 7262173369
12,8,3,7,2024-03-15 01:24:48.044200,entertainment journey,18,Galaxy S6,Android,['7.0.01'],+91 7886866621
4,2,2,1,2024-03-15 01:25:30.207590,single feature journey,5,Pixel 5,Android,['7.0.25'],+91 7824711217
15,11,7,8,2024-03-15 01:25:38.921597,long exploration journey,25,Lenovo Z series,Android,['6.0.11'],+91 7390501670
8,4,5,3,2024-03-15 01:25:43.762251,shopping journey,15,Nova series,Android,['6.0.04'],+91 7459611128
3,3,3,5,2024-03-15 01:25:54.945507,news consumption journey,8,Galaxy Note9,Android,['7.0.57'],+91 8828504018
11,5,5,9,2024-03-15 01:26:02.947432,entertainment journey,11,Pixel,Android,['6.0.11'],+91 9763474127
4,4,3,2,2024-03-15 01:26:04.425597,news consumption journey,8,Pixel 8,Android,['7.0.01'],+91 8354071726
5,3,5,5,2024-03-15 01:26:05.117177,news consumption journey,8,Pixel 7 Pro,Android,['7.0.01'],+91 9498899265
16,15,5,9,2024-03-15 01:26:22.536252,long exploration journey,29,P series,Android,['7.0.60'],+91 9060564963
4,1,0,1,2024-03-15 01:26:50.106672,simple recharge journey,1,Nokia 5,Android,['7.0.57'],+91 9582342517
4,2,1,1,2024-03-15 01:26:54.156953,single feature journey,8,Galaxy S10,Android,['7.0.47'],+91 9115503114
4,1,1,1,2024-03-15 01:26:57.094581,single feature journey,4,iPhone 11,IOS,['7.0.60'],+91 8528120004
19,11,8,10,2024-03-15 01:26:57.155692,long exploration journey,30,OnePlus 3/3T,Android,['7.0.47'],+91 9339833052
3,1,0,1,2024-03-15 01:27:15.695656,simple recharge journey,1,Pixel 8,Android,['7.0.25'],+91 8325070220
19,11,5,5,2024-03-15 01:27:20.427991,long exploration journey,29,Moto Z series,Android,['7.0.57'],+91 9396386599
4,2,1,1,2024-03-15 01:27:30.533743,single feature journey,8,Pixel 4,Android,['7.0.01'],+91 8904853348
6,4,2,5,2024-03-15 01:27:44.180523,shopping journey,14,Moto G series,Android,['7.0.60'],+91 8802808537
10,3,3,3,2024-03-15 01:27:59.647736,mixed usage,11,Galaxy J series,Android,['5.0.28'],+91 8651594463
7,2,2,4,2024-03-15 01:28:47.921804,shopping journey,14,Pixel 5,Android,['7.0.57'],+91 9750818995
